2G,3G,4G,Operateur,result_city
1,1,0,Orange,Plouray
1,1,0,SFR,Plouray
1,1,0,Bouygues,Plouray
0,1,0,Free,Plouray
1,1,0,Orange,Kervignac
1,1,0,SFR,Kervignac
1,1,0,Orange,Hennebont
1,1,0,Orange,Bangor
1,1,0,SFR,Bangor
1,1,0,Bouygues,Bangor
1,1,1,Orange,Plougonver
1,1,0,Orange,Caouënnec-Lanvézéac
1,1,0,Bouygues,Caouënnec-Lanvézéac
1,1,1,Orange,Hennebont
1,1,1,SFR,Hennebont
1,1,1,Bouygues,Hennebont
0,1,1,Free,Hennebont
1,1,0,Orange,Sauzon
1,1,1,SFR,Sauzon
1,1,1,Bouygues,Sauzon
1,1,1,SFR,Plouhinec
1,1,1,Bouygues,Plouhinec
0,1,0,Free,Plouhinec
1,1,0,Orange,Inzinzac-Lochrist
1,1,1,SFR,Inzinzac-Lochrist
1,1,1,Bouygues,Inzinzac-Lochrist
0,1,1,Free,Inzinzac-Lochrist
1,1,1,Orange,Rostrenen
1,1,1,SFR,Rostrenen
1,1,1,Bouygues,Rostrenen
1,1,1,Bouygues,Kervignac
0,1,1,Free,Kervignac
1,1,0,Bouygues,Kervignac
1,1,0,Orange,Ploërdut
1,1,0,Orange,Kergrist-Moëlou
1,1,0,SFR,Kergrist-Moëlou
1,1,0,Bouygues,Kergrist-Moëlou
0,1,0,Free,Kergrist-Moëlou
1,1,0,Orange,Kermaria-Sulard
1,1,0,Orange,Louargat
1,1,0,Bouygues,Louargat
1,1,0,Orange,Trévou-Tréguignec
1,1,0,SFR,Trévou-Tréguignec
0,0,1,SFR,Trévou-Tréguignec
1,1,1,Bouygues,Trévou-Tréguignec
0,1,1,Free,Trévou-Tréguignec
1,1,0,Orange,Merlevenez
1,1,0,Orange,Languidic
1,1,1,Orange,Le Palais
1,1,0,Bouygues,Le Palais
0,1,1,Orange,Étel
1,1,1,SFR,Étel
1,1,1,Bouygues,Étel
1,1,0,Orange,Plouguernével
1,1,1,Orange,Belz
1,1,1,Orange,Bégard
1,1,0,Orange,Penvénan
1,1,1,Orange,Erdeven
1,1,1,SFR,Erdeven
1,1,1,Bouygues,Erdeven
0,1,1,Free,Erdeven
1,1,1,Orange,Saint-Pierre-Quiberon
1,0,0,SFR,Saint-Pierre-Quiberon
1,1,1,Orange,Saint-Laurent
1,1,0,SFR,Bégard
1,1,0,SFR,Saint-Laurent
1,1,1,Bouygues,Bégard
1,1,1,Bouygues,Saint-Laurent
1,1,0,Orange,Locmalo
1,1,0,Orange,Bubry
1,1,0,SFR,Bubry
1,1,0,Orange,Langoat
1,1,1,Orange,Languidic
1,1,1,SFR,Languidic
1,1,1,Bouygues,Languidic
0,1,1,Free,Languidic
1,1,0,Orange,Saint-Pierre-Quiberon
0,0,0,Orange,Quiberon
1,1,1,Orange,Quiberon
1,1,1,SFR,Quiberon
1,1,1,Bouygues,Quiberon
0,1,1,Free,Quiberon
1,1,0,Orange,Moustéru
1,1,1,Orange,Locmaria
1,1,0,SFR,Locmaria
1,1,1,Orange,Plouharnel
1,1,1,SFR,Plouharnel
1,1,1,Bouygues,Plouharnel
1,1,1,Orange,Landévant
1,1,1,SFR,Landévant
