2G,3G,4G,Operateur,lat,lng
1,1,0,Orange,47.758647806797434,-3.288612224121449
1,1,0,Orange,47.798455219151506,-3.2909823134476888
1,1,0,Orange,47.310824239632524,-3.2271884754197515
1,1,1,Orange,48.46479113558033,-3.3633884767214672
1,1,0,Orange,48.70733803924367,-3.3837389454596516
1,1,1,Orange,47.80063921557861,-3.2718370097014455
1,1,0,Orange,47.352737132401465,-3.21602378439449
1,1,1,Orange,47.69788769275556,-3.2488218919205862
1,1,0,Orange,47.82864051563302,-3.2614845333824802
1,1,1,Orange,48.2321982372309,-3.307856656414359
1,1,0,Orange,47.797570328029614,-3.251924487142019
1,1,0,Orange,47.76364784176471,-3.2463926366204174
1,1,0,Orange,48.09756167750899,-3.280190199756506
1,1,0,Orange,48.3301872043633,-3.305813833956058
1,1,0,Orange,48.38621159728439,-3.3108511904820745
1,1,0,Orange,48.77118081941445,-3.352140298805961
1,1,0,Orange,48.566542454584095,-3.326533532603278
1,1,0,Orange,47.97245731041065,-3.2538600367665325
1,1,0,Orange,48.810510119432166,-3.3543725644387465
1,1,0,Orange,47.70638041065351,-3.21997715751606
1,1,0,Orange,47.738550210771336,-3.2226707650950175
1,1,0,Orange,47.81493909348517,-3.215193799632898
1,1,1,Orange,47.342657042843655,-3.159561719783542
0,1,1,Orange,47.65782065407039,-3.19373694264772
1,1,0,Orange,48.237863635457636,-3.2569073726550424
1,1,1,Orange,47.67523552366672,-3.1876359483654815
1,1,1,Orange,48.624928383201585,-3.2969749422871395
1,1,0,Orange,48.376125804635066,-3.265095226127903
1,1,1,Orange,47.66503839525167,-3.178511686837912
1,1,0,Orange,48.806184411993485,-3.3124695179543506
1,1,1,Orange,47.6383825684138,-3.1657879748163054
1,1,1,Orange,47.52174015505056,-3.1477026021950505
1,1,1,Orange,48.60972745579637,-3.2736973469722495
1,1,0,Orange,48.0708875809795,-3.206564337688861
1,1,0,Orange,47.956586456223995,-3.1873020040933318
1,1,0,Orange,48.752797373751946,-3.280539514719299
1,1,1,Orange,47.83770266842163,-3.170929749445694
1,1,0,Orange,47.55885468707825,-3.134747145928497
1,1,0,Orange,47.84178633157473,-3.167100319706663
1,1,0,Orange,47.76818726439203,-3.1564140248546613
0,0,0,Orange,47.479785620813125,-3.121298930432879
1,1,1,Orange,47.49237360973929,-3.1226350357496213
1,1,0,Orange,48.52221700830521,-3.241473095463363
1,1,1,Orange,47.4819580242757,-3.113130461379059
1,1,1,Orange,47.2942290247844,-3.0851020091864667
1,1,1,Orange,47.596186458125246,-3.108478458009228
1,1,1,Orange,47.768448999762434,-3.1254851882514454
1,1,1,Orange,48.778672044229594,-3.235020223129943
1,1,0,Orange,47.574876632929396,-3.087332601966951
1,1,1,Orange,48.46704302878709,-3.189008590749585
1,1,0,Orange,48.726684134115644,-3.219706217717136
1,1,1,Orange,47.587520809924094,-3.0865477312795266
1,1,1,Orange,47.75027937675128,-3.104731311535627
1,1,1,Orange,48.319149653433264,-3.170414987116453
1,1,0,Orange,48.225288644898086,-3.15748403015516
1,1,0,Orange,48.17796526741826,-3.1511589547796137
1,1,0,Orange,48.56016943419859,-3.196030538725584
1,1,0,Orange,47.858875348729946,-3.1076810305894895
0,0,0,Orange,47.57318314850828,-3.074638854756802
0,1,0,Orange,47.57318314850828,-3.074638854756802
0,1,1,Orange,47.580774095179535,-3.070340011752977
1,1,0,Orange,47.609240431093575,-3.0690969167667768
1,1,0,Orange,47.65110635190791,-3.0710895357651764
1,1,0,Orange,47.72627493901107,-3.0792972578046323
1,1,0,Orange,48.005157520767966,-3.1097794930035727
1,1,1,Orange,47.574893111824316,-3.058450690693739
1,1,0,Orange,48.39148482809422,-3.1450183382871906
1,1,1,Orange,48.550100302608946,-3.1611737639671813
1,1,1,Orange,48.568910321444676,-3.1516569273128487
1,1,1,Orange,47.57871444321375,-3.037190959963037
1,1,1,Orange,48.555566325083255,-3.144324856133176
1,1,0,Orange,47.587070043465765,-3.026981697608345
1,1,0,Orange,48.69987990503204,-3.151795867331352
0,1,0,Orange,48.54508520499724,-3.132046300979001
1,1,0,Orange,48.22117598063064,-3.091569990189884
1,1,0,Orange,48.582788043400924,-3.131926107570543
1,1,0,Orange,48.510968778319686,-3.1224558553723347
1,1,0,Orange,48.10044383515397,-3.0682593303598984
1,1,1,Orange,48.565284651111334,-3.1195018524788614
1,1,1,Orange,47.58364237401656,-3.0057796572341373
0,0,0,Orange,47.758283157882346,-3.0226776914187456
0,1,0,Orange,48.553783626807984,-3.113494883690282
1,1,0,Orange,47.62597981643346,-3.004382950202839
1,1,0,Orange,48.455284478650874,-3.0988867012503127
1,1,0,Orange,48.334511991506425,-3.0843807269771424
1,1,1,Orange,47.68047555332453,-3.005264413360729
1,1,0,Orange,48.84092041060258,-3.1382595827159228
1,1,1,Orange,47.66175256257729,-3.0001995687188026
1,0,0,Orange,48.0235767523397,-3.0401969462774354
1,1,1,Orange,47.777462782227516,-3.011313555306105
1,1,1,Orange,47.671917719085265,-2.990520122102787
1,1,1,Orange,47.89090112725718,-3.0150525784988624
1,1,0,Orange,47.72076348728078,-2.9950457091275675
0,1,0,Orange,47.38829403066702,-2.9559685793284003
1,1,0,Orange,48.79362914016073,-3.1116441449241448
1,1,1,Orange,47.679495045117164,-2.983406658567341
1,1,0,Orange,47.66744149357805,-2.9788848389127542
1,1,0,Orange,48.07574884257878,-3.022300131162907
1,1,1,Orange,47.58213781972783,-2.9637299360627174
1,1,0,Orange,47.95293639872675,-3.0053331550271527
1,1,0,Orange,48.323992520946014,-3.0456553189496125
1,1,0,Orange,48.41058126293727,-3.0472160251460205
1,1,0,Orange,47.701692632933806,-2.9660996320635094
1,1,0,Orange,47.63768092625217,-2.9456815083751158
1,1,1,Orange,48.21760708029742,-2.9971065544313604
1,0,0,Orange,48.55067447431843,-3.0267978446834074
1,1,0,Orange,48.7840075391922,-3.0530332820804875
1,1,0,Orange,48.05485488098146,-2.9663971136862775
1,1,0,Orange,47.898032765302126,-2.9449845165083777
1,1,1,Orange,48.775825649706086,-3.0446853631667423
1,1,1,Orange,48.04985175944127,-2.9605964850822013
1,1,1,Orange,48.072062215584154,-2.960571392589035
1,1,1,Orange,48.758861709576514,-3.0387471793465353
1,1,1,Orange,47.55392671179263,-2.9021194476957497
1,1,0,Orange,48.04329498710977,-2.9566002173428503
1,1,1,Orange,47.624282680202036,-2.909164883998485
1,1,1,Orange,47.54387264950437,-2.8951417363991627
1,1,0,Orange,48.763184024366666,-3.0324805834346344
1,1,0,Orange,48.06636431560621,-2.952267697357966
1,1,0,Orange,47.753412173095036,-2.9160525556173633
1,1,0,Orange,48.70460424788362,-3.022693745782189
1,1,1,Orange,48.80109125008567,-3.0338143971400373
1,1,0,Orange,47.54807569559139,-2.891819708120413
1,1,0,Orange,47.666257164040445,-2.89573157525926
0,1,1,Orange,47.5413307962763,-2.8813305019616595
0,1,1,Orange,48.62510006977572,-2.9832646164648917
1,1,0,Orange,48.222490025348215,-2.9292672693975703
1,1,0,Orange,48.84403559199518,-2.9994262092191235
1,1,0,Orange,47.85861339455343,-2.885597013463449
1,1,0,Orange,48.53871616236095,-2.960251914774938
1,1,1,Orange,48.753841336727604,-2.9848406036938036
1,1,1,Orange,47.51615057137518,-2.838065752758261
1,1,0,Orange,47.59722503309043,-2.846289817145566
1,1,1,Orange,47.65014062161429,-2.8452594995834697
1,1,1,Orange,48.36338743082867,-2.917593732071936
0,1,1,Orange,47.500688295837186,-2.8137457091546216
1,1,1,Orange,48.06981795864454,-2.8746199611982695
1,1,0,Orange,47.62497594087051,-2.8252631825671717
1,1,0,Orange,47.75390578663596,-2.831523560717412
